ROG3,Ctry,PoplPeoples,CntPeoples,CntPeoplesLR,PoplPeoplesLR,JPScaleCtry,ROL3OfficialLanguage,OfficialLang,RLG3Primary,ReligionPrimary,PercentChristianity,PercentEvangelical,10_40Window,ROG2,Continent,RegionCode,RegionName,PercentUrbanized,LiteracyRate,ISO3,Population,WorkersNeeded
NS,Suriname,534372,24,2,13452,5,nld,Dutch,1,Christianity,46.983371056338,17.616152971388,N,LAM,"South America",11,"Latin America",66,96,SUR,568000,2
SV,Svalbard,2642,2,,,4,nor,Norwegian,1,Christianity,90.98937037037039,6.67955555555556,N,EUR,Europe,10,"Western Europe",,,SJM,2700,
WZ,Swaziland,1329189,10,1,803,5,ssw,Swati,1,Christianity,84.0564736017254,20.8043458753824,N,AFR,Africa,7,"East and Southern Africa",21,88,SWZ,1391000,1
SW,Sweden,9931082,88,21,386049,4,swe,Swedish,1,Christianity,55.6844245166783,5.78968718946951,N,EUR,Europe,10,"Western Europe",86,99,SWE,9983000,22
SZ,Switzerland,8479411,40,8,229246,4,gsw,"German, Swiss",1,Christianity,76.49342302434459,3.94968334035581,N,EUR,Europe,10,"Western Europe",74,100,CHE,8544000,8
SY,Syria,18197880,36,17,5779349,2,arb,"Arabic, Standard",6,Islam,5.71711827313498,0.191240922755811,Y,ASI,Asia,6,"Middle East and North Africa",58,86,SYR,18284000,120
TW,Taiwan,23649634,36,9,4429487,4,cmn,"Chinese, Mandarin",4,"Ethnic Religions",5.9608090520807,3.30005546255434,Y,ASI,Asia,3,"Northeast Asia",,99,TWN,23694000,94
TI,Tajikistan,9062469,41,24,8964329,1,tgk,Tajik,6,Islam,1.00361340507302,0.115242538566807,Y,ASI,Asia,5,"Central Asia",27,99,TJK,9107000,194
TZ,Tanzania,59006253,156,31,5901720,5,swh,Swahili,1,Christianity,51.2019783579563,10.9862075729976,N,AFR,Africa,7,"East and Southern Africa",32,80,TZA,59091000,126
TH,Thailand,69037699,114,79,60919451,1,tha,Thai,2,Buddhism,1.25891973028056,0.630806612046845,Y,ASI,Asia,2,"Southeast Asia",52,95,THA,69183000,1261
TO,Togo,7942967,56,7,320772,5,fra,French,1,Christianity,45.3062875034414,10.9923977410337,N,AFR,Africa,8,"West and Central Africa",40,64,TGO,7991000,9
TL,Tokelau,1268,1,,,4,tkl,Tokelauan,1,Christianity,100,3.4,N,SOP,Oceania,1,"Australia and Pacific",0,94,TKL,1300,
TN,Tonga,105691,5,,,5,ton,Tongan,1,Christianity,95.86528623853209,15.6904220183486,N,SOP,Oceania,1,"Australia and Pacific",24,99,TON,109000,
TD,"Trinidad and Tobago",1362215,15,1,652,5,eng,English,1,Christianity,66.1199594683175,23.4350487182692,N,NAR,"North America",12,"North America and Caribbean",8,99,TTO,1373000,1
TS,Tunisia,11631663,14,12,11543535,1,arb,"Arabic, Standard",6,Islam,0.422239823312462,0.0294658637032392,Y,AFR,Africa,6,"Middle East and North Africa",67,79,TUN,11659000,238
TU,Turkey,81863602,68,45,81090574,1,tur,Turkish,6,Islam,0.660729686511958,0.0400153472801906,Y,ASI,Asia,5,"Central Asia",74,96,TUR,81917000,1634
TX,Turkmenistan,5796933,38,21,5429472,1,tuk,Turkmen,6,Islam,4.44118850623825,0.0978216544180482,Y,ASI,Asia,5,"Central Asia",50,100,TKM,5851000,121
TK,"Turks and Caicos Islands",35023,4,,,5,eng,English,1,Christianity,90.6726791666667,31.9605361111111,N,NAR,"North America",12,"North America and Caribbean",93,99,TCA,36000,
TV,Tuvalu,10754,2,,,5,tvl,Tuvaluan,1,Christianity,98,22.8269165671147,N,SOP,Oceania,1,"Australia and Pacific",61,95,TUV,11000,
UG,Uganda,44168748,67,5,1107636,5,eng,English,1,Christianity,83.54434432752819,33.8270239105509,N,AFR,Africa,7,"East and Southern Africa",16,73,UGA,44271000,24
UP,Ukraine,43942853,78,26,455020,4,ukr,Ukrainian,1,Christianity,72.971049433525,3.62070973276093,N,EUR,Europe,9,"Eastern Europe and Eurasia",70,99,UKR,44009000,31
AE,"United Arab Emirates",9475659,32,27,7985419,2,arb,"Arabic, Standard",6,Islam,7.85002862083421,1.32209711395907,Y,ASI,Asia,6,"Middle East and North Africa",86,90,ARE,9542000,168
UK,"United Kingdom",66468577,105,32,5037394,4,eng,English,1,Christianity,56.9977066829392,7.89337743840502,N,EUR,Europe,10,"Western Europe",83,99,GBR,66574000,114
US,"United States",325633294,489,85,10783524,5,eng,English,1,Christianity,77.31256360805401,26.4023009621932,N,NAR,"North America",12,"North America and Caribbean",82,99,USA,326767000,265
UY,Uruguay,3445088,35,1,17042,4,spa,Spanish,1,Christianity,66.7556979193084,7.28989853570438,N,LAM,"South America",11,"Latin America",95,99,URY,3470000,1
UZ,Uzbekistan,32301826,61,34,30134252,1,uzn,"Uzbek, Northern",6,Islam,4.38812431144755,0.242132772294675,Y,ASI,Asia,5,"Central Asia",36,99,UZB,32365000,622
NH,Vanuatu,280001,111,,,5,bis,Bislama,1,Christianity,91.07567063829789,41.2783411347518,N,SOP,Oceania,1,"Australia and Pacific",26,83,VUT,282000,
VT,"Vatican City",798,1,,,4,lat,Latin,1,Christianity,100,2.5,N,EUR,Europe,10,"Western Europe",100,100,VAT,800,
VE,Venezuela,32310531,66,3,39918,5,spa,Spanish,1,Christianity,82.55867777276799,12.1892013052983,N,LAM,"South America",11,"Latin America",89,95,VEN,32381000,3
VM,Vietnam,96418609,118,67,8614631,4,vie,Vietnamese,2,Buddhism,10.1437457806427,2.39477070381584,Y,ASI,Asia,2,"Southeast Asia",34,94,VNM,96491000,213
VQ,"Virgin Islands (U.S.)",103476,7,,,5,eng,English,1,Christianity,94.2198052380952,24.3736342857143,N,NAR,"North America",12,"North America and Caribbean",95,92,VIR,105000,
WF,"Wallis and Futuna Islands",11715,3,,,3,fra,French,1,Christianity,98.4765,1.75492886754046,N,SOP,Oceania,1,"Australia and Pacific",0,50,WLF,12000,
WE,"West Bank / Gaza",5011960,20,8,4969516,1,ajp,"Arabic, South Levantine Spoken",6,Islam,1.2474050623392,0.0741603832752433,Y,ASI,Asia,6,"Middle East and North Africa",75,97,PSE,5053000,104
WI,"Western Sahara",561935,10,10,561935,1,ary,"Arabic, Moroccan Spoken",6,Islam,0.0277736507936508,0.000769209031322397,Y,AFR,Africa,6,"Middle East and North Africa",81,,ESH,567000,15
YM,Yemen,28759437,29,20,28648608,1,arb,"Arabic, Standard",6,Islam,0.215086193809442,0.0278020587842597,Y,ASI,Asia,6,"Middle East and North Africa",35,70,YEM,28915000,572
ZA,Zambia,17537015,73,4,93178,5,eng,English,1,Christianity,86.9817567919814,25.1530209040831,N,AFR,Africa,7,"East and Southern Africa",41,63,ZMB,17609000,4
ZI,Zimbabwe,16845357,41,2,25842,5,eng,English,1,Christianity,76.6502139549459,25.2273862886537,N,AFR,Africa,7,"East and Southern Africa",32,87,ZWE,16913000,2

Bible Translation status:
0,Unspecified
1,Translation Needed
2,Translation Started
3,Portions
4,New Testament
5,Complete Bible

"Joshua Project welcomes corrections / updates to this data.  Please send feedback to:"

Email:,info@joshuaproject.net
Web:,www.joshuaproject.net
Office:,719.886.4000
Postal:,Joshua Project 
,PO Box 62614
,"Colorado Springs, CO 80962"
,United States
